,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
115,Lebanon ,ORIENTE MÉDIO,3874050,10400,372.5,0.0,24.52,4800.0,87.4,255.6,18.52,6.21
116,Lesotho ,ÁFRICA,2022331,30355,66.6,-0.74,84.23,3000.0,84.8,23.7,24.75,28.71
117,Liberia ,ÁFRICA,3042004,111370,27.3,0.0,128.87,1000.0,57.5,2.3,44.77,23.1
118,Libya ,ÁFRICA,5900754,1759540,3.4,0.0,24.6,6400.0,82.6,127.1,26.49,3.48
119,Liechtenstein ,EUROPA OCIDENTAL,33987,160,212.4,4.85,4.7,25000.0,100.0,585.5,10.21,7.18
120,Lithuania ,PAÍSES BÁLTICOS,3585906,65200,55.0,-0.71,6.89,11400.0,99.6,223.4,8.75,10.98
121,Luxembourg ,EUROPA OCIDENTAL,474413,2586,183.5,8.97,4.81,55100.0,100.0,515.4,11.94,8.41
122,Macau ,ÁSIA,453125,28,16183.0,4.86,4.39,19400.0,94.5,384.9,8.48,4.47
124,Madagascar ,ÁFRICA,18595469,587040,31.7,0.0,76.83,800.0,68.9,3.6,41.41,11.11
125,Malawi ,ÁFRICA,13013926,118480,109.8,0.0,103.32,600.0,62.7,7.9,43.13,19.33
126,Malaysia ,ÁSIA,24385858,329750,74.0,0.0,17.7,9000.0,88.7,179.0,22.86,5.05
127,Maldives ,ÁSIA,359008,300,1196.7,0.0,56.52,3900.0,97.2,90.0,34.81,7.06
128,Mali ,ÁFRICA,11716829,1240000,9.5,-0.33,116.79,900.0,46.4,6.4,49.82,16.89
129,Malta ,EUROPA OCIDENTAL,400214,316,1266.5,2.07,3.89,17700.0,92.8,505.0,10.22,8.1
130,Marshall Islands ,OCEANIA,60422,11854,5.1,-6.04,29.45,1600.0,93.7,91.2,33.05,4.78
131,Martinique ,AMÉRICA LATINA,436131,1100,396.5,-0.05,7.09,14400.0,97.7,394.4,13.74,6.48
